	GSM8268694	GSM8268695	GSM8268696	GSM8268707	GSM8268708	GSM8268709
80204	3708	4977	4239	1984	167	5486
100506235	10	21	17	13	0	37
3344	1085	1402	1144	489	54	1300
129285	635	855	710	488	42	1346
286749	144	181	159	330	31	782
11037	564	740	594	1089	80	2656
51130	588	710	593	372	32	1033
100302652	507	636	529	330	27	921
494143	418	524	358	176	13	485
27248	2330	2897	2401	1461	113	3833
112268415	413	520	377	230	18	496
100500850	34	64	44	16	2	27
10936	265	337	351	107	5	329
23198	9854	13108	11712	4475	441	11697
98	211	219	184	145	19	357
6711	37327	46687	43205	19037	1572	54652
105374640	15	13	10	3	0	7
400954	5720	8173	6499	2071	234	5476
57142	23295	29489	25001	8141	722	21334
130162	343	394	395	228	21	666
6233	18092	21759	19420	8522	855	21988
4528	3948	5130	4829	1774	213	5021
344405	33	51	48	37	3	116
55704	14308	18668	17407	7792	709	21278
112942	1444	1776	1667	854	83	2238
57223	5078	6457	5459	2947	260	7519
107985885	9	22	20	15	0	40
87178	3039	4205	3353	1274	102	3013
112268416	32	38	32	11	1	55
2202	13255	16574	13789	8840	862	22733
100129434	40	32	29	14	0	17
114800	94	129	131	37	1	65
7444	1396	1967	1557	833	75	2093
107984043	30	24	28	10	1	25
55120	838	1107	912	729	44	1831
53335	25	9	14	9	1	18
64895	1033	1307	1114	759	69	2094
5966	1140	1553	1272	856	80	2019
150962	511	645	575	331	38	852
5194	1470	1866	1634	891	79	2421
84542	1104	1506	1306	837	63	2007
339803	136	167	149	101	6	258
339804	79	81	83	52	5	91
130872	2164	2799	2477	2037	168	5457
9736	12492	16389	14412	7097	634	19420
7514	27229	35710	28944	14885	1384	36896
107985767	13	10	4	6	0	20
84140	1005	1363	1227	798	91	2112
10575	16110	19997	16933	6759	643	16193
150684	1946	2359	2167	1009	81	2784
10678	831	1198	881	475	33	1156
105374764	23	28	15	7	0	18
200728	73	125	72	51	5	122
23301	3589	4795	4163	2292	187	6092
100132215	400	556	435	248	22	707
5013	1168	1398	1309	965	87	2523
100169989	7	14	14	3	0	20
51057	392	443	420	213	20	635
4190	5323	6951	5968	3638	311	9320
7360	4069	5250	4257	2291	280	5542
51542	1835	2519	1924	958	89	2572
57162	577	744	647	545	30	1323
105374771	27	37	33	9	1	56
29094	503	719	587	295	27	708
105374773	29	38	47	14	1	63
101927402	4	25	15	9	1	14
54812	1638	2275	1903	888	80	2495
105374772	7	10	10	4	0	12
9792	3702	4893	4088	1287	81	3071
105374775	6	24	18	13	2	43
107984063	21	33	26	25	2	111
6509	1475	1719	1486	674	44	1742
23177	950	1257	1098	768	63	2084
5861	6387	8149	6848	3004	311	8508
10097	38297	49367	39126	15449	1443	40141
200734	2358	2815	2741	1620	109	4228
4211	406	443	437	329	32	849
100873998	6	11	8	10	3	34
54465	1396	1865	1487	997	76	2418
10438	1227	1593	1253	597	57	1612
105374789	8	7	11	13	0	33
116143	930	1121	1054	517	38	1503
56902	2138	2840	2424	577	60	1493
5534	6445	8171	6565	2847	241	6963
107985892	5	16	16	0	2	10
25927	1469	1957	1691	668	53	1596
554251	215	236	225	153	10	381
200558	172	224	174	117	17	283
56287	22	23	21	4	0	11
84168	5350	6904	5885	3503	338	9600
2673	6920	8877	7371	3217	277	8438
27247	1079	1353	1095	611	65	1590
22848	6601	8240	7774	3151	249	8761
